drgn2,region,delta_exp_hybrid_old,delta_cov_hybrid_old,exposure_composite_hybrid_old,rank_old,pop_old,avg_pop_admin_old,delta_exp_hybrid_new,delta_cov_hybrid_new,exposure_composite_hybrid_new,rank_new,pop_new,avg_pop_admin_new,rank_change,score_change,delta_exp_change,pop_ratio
52,Comunitat Valenciana,91.7065,0.5816,1.9005,15,4922250.9633,4973421.33,90.7629,0.5756,1.8936,15,4922250.9633,4973421.33,0,-0.0069,-0.9436,0.9897
70,Canarias,77.3246,0.4641,1.5899,13,2160445.1467,2136253.0,78.2003,0.4694,1.6187,14,2160445.1467,2136253.0,1,0.0288,0.8757,1.0113
61,Andalucía,62.6764,1.0365,1.6035,14,8356391.5433,8409355.67,62.2817,1.03,1.6068,13,8356391.5433,8409355.67,-1,0.0033,-0.3947,0.9937
51,Cataluña,70.1393,0.322,1.395,12,7427222.6967,7579308.0,68.7319,0.3155,1.3757,12,7427222.6967,7579308.0,0,-0.0193,-1.4074,0.9799
62,Región de Murcia,44.2012,0.844,1.1847,11,1471147.4967,1482285.33,43.869,0.8377,1.1861,11,1471147.4967,1482285.33,0,0.0014,-0.3322,0.9925
43,Extremadura,47.2551,0.7297,1.1843,10,1059240.0567,1078036.67,46.4312,0.717,1.1732,10,1059240.0567,1078036.67,0,-0.0111,-0.8239,0.9826
11,Galicia,34.2154,0.3713,0.7826,9,2682440.2367,2703193.67,33.9528,0.3684,0.7825,9,2682440.2367,2703193.67,0,-0.0001,-0.2626,0.9923
42,Castilla-La Mancha,27.3201,0.5905,0.7651,8,2008241.1233,2036718.0,26.9381,0.5823,0.7612,8,2008241.1233,2036718.0,0,-0.0039,-0.382,0.986
41,Castilla y León,23.9194,0.2571,0.5459,7,2368908.0133,2423646.33,23.3792,0.2513,0.5376,7,2368908.0133,2423646.33,0,-0.0083,-0.5402,0.9774
30,Comunidad de Madrid,7.8922,0.0973,0.1861,6,6479329.85,6569489.67,7.7839,0.0959,0.1849,6,6479329.85,6569489.67,0,-0.0012,-0.1083,0.9863
53,Illes Balears,3.5792,-0.0349,0.0467,5,1160627.2033,1131455.67,3.6715,-0.0358,0.048,5,1160627.2033,1131455.67,0,0.0013,0.0923,1.0258
13,Cantabria,6.5486,-0.2414,0.0008,4,575577.9967,582367.33,6.4722,-0.2386,-0.0003,4,575577.9967,582367.33,0,-0.0011,-0.0764,0.9883
12,Principado de Asturias,11.373,-1.1698,-0.3564,3,1017693.09,1025507.0,11.2864,-1.1609,-0.3611,3,1017693.09,1025507.0,0,-0.0047,-0.0866,0.9924
22,Comunidad Foral de Navarra,20.2685,-1.8616,-0.5288,2,636428.4367,646190.0,19.9623,-1.8335,-0.5323,2,636428.4367,646190.0,0,-0.0035,-0.3062,0.9849
21,País Vasco,13.5656,-2.6448,-1.0208,1,2149662.2867,2192972.67,13.2977,-2.5925,-1.0183,1,2149662.2867,2192972.67,0,0.0025,-0.2679,0.9803
